Generation,cores,pop,GenerationFitness,GenerationTime
2,12,10,5,0,
3,12,10,11,0,
4,12,10,11,0,
5,12,10,11,0,
6,12,10,18,0,
7,12,10,25,0,
8,12,10,27,0,
9,12,10,29,0,
10,12,10,29,0,
11,12,10,30,0,
12,12,10,30,0,
13,12,10,34,0,
14,12,10,34,0,
15,12,10,34,0,
16,12,10,34,0,
17,12,10,36,0,
18,12,10,41,0,
19,12,10,42,0,
20,12,10,53,0,
21,12,10,53,0,
22,12,10,53,0,
23,12,10,63,0,
24,12,10,71,0,
25,12,10,71,0,
26,12,10,71,0,
27,12,10,71,0,
28,12,10,71,0,
29,12,10,81,0,
30,12,10,81,0,
1,12,30,15,1,
2,12,30,24,1,
3,12,30,24,0,
4,12,30,24,0,
5,12,30,26,0,
6,12,30,26,0,
7,12,30,27,0,
8,12,30,27,0,
9,12,30,28,0,
10,12,30,28,0,
11,12,30,32,0,
12,12,30,39,0,
13,12,30,48,0,
14,12,30,53,0,
15,12,30,57,0,
16,12,30,82,0,
17,12,30,99,0,
18,12,30,142,0,
19,12,30,142,0,
20,12,30,142,0,
21,12,30,142,0,
22,12,30,148,0,
23,12,30,155,1,
24,12,30,155,1,
25,12,30,155,1,
26,12,30,155,1,
27,12,30,187,1,
28,12,30,187,1,
29,12,30,187,1,
30,12,30,187,1,
1,12,30,5,1,
2,12,30,5,1,
3,12,30,5,0,
4,12,30,7,0,
5,12,30,8,0,
6,12,30,9,0,
7,12,30,11,0,
8,12,30,11,0,
9,12,30,16,0,
10,12,30,16,0,
11,12,30,16,0,
12,12,30,16,0,
13,12,30,16,0,
14,12,30,16,0,
15,12,30,16,0,
16,12,30,16,0,
17,12,30,20,0,
18,12,30,54,0,
19,12,30,54,0,
20,12,30,64,0,
21,12,30,64,0,
22,12,30,167,1,
23,12,30,167,0,
24,12,30,199,1,
25,12,30,199,1,
26,12,30,199,1,
27,12,30,523,2,
28,12,30,698,2,
29,12,30,698,3,
30,12,30,698,4,
1,12,30,6,1,
2,12,30,9,1,
3,12,30,14,0,
4,12,30,30,0,
5,12,30,30,0,
6,12,30,35,0,
7,12,30,38,0,
8,12,30,47,0,
9,12,30,48,0,
10,12,30,54,0,
11,12,30,54,0,
12,12,30,54,0,
13,12,30,54,0,
14,12,30,54,0,
15,12,30,54,0,
16,12,30,54,0,
17,12,30,54,0,
18,12,30,54,0,
19,12,30,54,0,
20,12,30,54,0,
21,12,30,54,0,
22,12,30,55,0,
23,12,30,59,0,
24,12,30,59,0,
25,12,30,72,0,
26,12,30,87,0,
27,12,30,95,0,
28,12,30,207,0,
29,12,30,380,1,
30,12,30,380,2,
1,12,30,41,1,
2,12,30,50,1,
3,12,30,50,0,
4,12,30,187,0,
5,12,30,256,1,
6,12,30,284,1,
7,12,30,284,1,
8,12,30,284,1,
9,12,30,284,1,
10,12,30,326,2,
11,12,30,392,1,
12,12,30,413,2,
13,12,30,413,2,
14,12,30,413,2,
15,12,30,430,2,
16,12,30,430,2,
17,12,30,430,2,
18,12,30,430,2,
19,12,30,430,2,
20,12,30,454,2,
21,12,30,454,2,
22,12,30,454,2,
23,12,30,454,2,
24,12,30,607,2,
25,12,30,607,2,
26,12,30,607,2,
27,12,30,607,3,
28,12,30,1072,3,
29,12,30,1072,4,
30,12,30,1542,7,
1,12,30,17,1,
2,12,30,51,0,
3,12,30,67,0,
4,12,30,76,0,
5,12,30,76,0,
6,12,30,81,0,
7,12,30,91,0,
8,12,30,96,0,
9,12,30,96,0,
10,12,30,103,0,
11,12,30,103,0,
12,12,30,103,0,
13,12,30,107,0,
14,12,30,127,0,
15,12,30,136,1,
16,12,30,210,1,
17,12,30,210,1,
18,12,30,219,1,
19,12,30,477,2,
20,12,30,3608,7,
21,12,30,3608,8,
22,12,30,4208,19,
23,12,30,4208,19,
24,12,30,4208,16,
25,12,30,4438,18,
26,12,30,4438,20,
27,12,30,7516,22,
